kabupaten,kecamatan,lokasi,lon,lat,hth,score_hth,analisis_ch,analisis_lon,analisis_lat,analisis_jarak,prediksi_ch,prediksi_lon,prediksi_lat,prediksi_jarak,spi,spi_lon,spi_lat,spi_jarak,skor_hth,skor_analisis,skor_prediksi,skor_spi,ippk,risiko,warna
BANGKA TENGAH,KOBA,STAKLIM KOBA,106.416694444444,-2.52327777777778,2,1,4.162000179290772,106.41445181,-2.5231952,0.0022441542591380894,8.39,106.422,-2.518,0.007483572544537285,-1.3845,106.4,-2.5,0.028645408245746656,1,5,5,3,3.7,Prioritas Tinggi,#fd7e14
BANGKA BARAT,SIMPANG TERITIP,MAYANG,105.291388888889,-1.97108333333333,11,3,8.265999794006348,105.28945181,-1.9686237,0.0031308258905020214,14.41,105.291,-1.971,0.00039771725187147627,0.033834,105.3,-1.95,0.022774068126055005,3,5,4,1,3.65,Prioritas Tinggi,#fd7e14
BANGKA SELATAN,SIMPANG RIMBA,DESA SEBAGIN,105.901805555556,-2.61880555555556,15,3,6.85699987411499,105.89945181,-2.61809959,0.002457337076592223,10.65,105.902,-2.619,0.0002749859701482761,2.6297,105.9,-2.6,0.01889203405192276,3,5,4,1,3.65,Prioritas Tinggi,#fd7e14
BELITUNG,BADAU,SUNGAI SAMAK,107.598555555556,-2.85430555555556,16,3,0.6690000295639038,107.59945181,-2.85283164,0.0017250214761890732,10.02,107.692,-2.806,0.10519168643470371,0.4825,107.6,-2.85,0.004541390579303446,3,5,4,1,3.65,Prioritas Tinggi,#fd7e14
BANGKA,BELINYU,DESA BINTET,105.848805555556,-1.55730555555556,9,2,9.86400032043457,105.84945181,-1.55881881,0.0016454737372611757,12.0,105.849,-1.557,0.00036217791116830567,-0.091197,105.85,-1.55,0.00740255628179654,2,5,4,2,3.55,Prioritas Tinggi,#fd7e14
BANGKA SELATAN,PAYUNG,PAYUNG,106.140277777778,-2.60358333333333,10,2,8.847999572753906,106.13945181,-2.60311515,0.0009494305682357503,10.26,106.14,-2.604,0.0005007710106048488,-0.69672,106.15,-2.6,0.010361557928800617,2,5,4,2,3.55,Prioritas Tinggi,#fd7e14
BANGKA SELATAN,TOBOALI,SERDANG,106.423,-2.834,4,1,9.211000442504885,106.42445181,-2.83285626,0.001848213587136764,8.66,106.423,-2.834,0.0,-0.63322,106.4,-2.85,0.028017851452240634,1,5,5,2,3.55,Prioritas Tinggi,#fd7e14
BANGKA TENGAH,SIMPANG KATIS,CELUAK,106.143583333333,-2.32666666666667,2,1,0.6579999923706055,106.14445181,-2.32837003,0.0019119880665083447,10.1,106.144,-2.327,0.0005335936867165227,-1.0373,106.15,-2.35,0.024199546598227192,1,5,4,3,3.45,Prioritas Tinggi,#fd7e14
BANGKA,RIAU SILIP,PUGUL,105.947194444444,-1.74527777777778,10,2,1.4190000295639038,105.94945181,-1.74374191,0.0027303093385661055,11.25,105.947,-1.745,0.0003390709890678136,0.33339,105.95,-1.75,0.005492770220378818,2,5,4,1,3.4,Prioritas Tinggi,#fd7e14
BANGKA SELATAN,AIR GEGAS,DESA AIR BARA,106.363694444444,-2.56025,4,1,3.178999900817871,106.36445181,-2.55816079,0.0022222513380653138,8.45,106.364,-2.56,0.0003947964004510492,1.1429,106.35,-2.55,0.01710556367471642,1,5,5,1,3.4,Prioritas Tinggi,#fd7e14
BANGKA TENGAH,SUNGAI SELAN,KEMINGKING,106.132388888889,-2.45830555555556,4,1,6.498000144958496,106.13445181,-2.45825661,0.002063501678612939,9.98,106.132,-2.458,0.0004945692727158871,1.0046,106.15,-2.45,0.01947135043212952,1,5,5,1,3.4,Prioritas Tinggi,#fd7e14
BELITUNG,BADAU,BUKIT INDAH,107.864555555556,-2.75227777777778,1,1,4.796999931335449,107.86445181,-2.75295129,0.0006814556873836101,8.96,107.865,-2.752,0.0005241100625161029,0.88587,107.85,-2.75,0.014732700673969281,1,5,5,1,3.4,Prioritas Tinggi,#fd7e14
BELITUNG,MEMBALONG,MEMBALONG,107.652666666667,-3.12113888888889,1,1,4.51800012588501,107.65445181,-3.12246441,0.0022234529307669565,7.0,107.653,-3.121,0.0003611111108068503,0.55288,107.65,-3.1,0.02130642472517847,1,5,5,1,3.4,Prioritas Tinggi,#fd7e14
BANGKA TENGAH,LUBUK BESAR,LUBUK BESAR,106.668305555556,-2.54358333333333,1,1,44.084999084472656,106.66945181,-2.54317565,0.0012165956397480044,8.41,106.668,-2.544,0.0005166965346450912,-2.1771,106.65,-2.55,0.0193976023086581,1,3,5,5,3.3,Prioritas Tinggi,#fd7e14
BANGKA TENGAH,SUNGAI SELAN,TANJUNG PURA,105.816611111111,-2.36958333333333,3,1,7.765999794006348,105.81445181,-2.36833644,0.002493456290512843,11.22,105.817,-2.37,0.0005699523480918409,-0.034832,105.85,-2.35,0.038708201271640444,1,5,4,2,3.3,Prioritas Tinggi,#fd7e14
BANGKA,PEMALI,PEMALI,106.056666666667,-1.89858333333333,5,1,10.27400016784668,106.05445181,-1.89866356,0.0022163091782013166,9.42,106.057,-1.899,0.0005335936862492428,-0.68169,106.05,-1.9,0.0068155255771924755,1,4,5,2,3.2,Prioritas Tinggi,#fd7e14
BANGKA,SUNGAI LIAT,SUNGAI LIAT,106.102194444444,-1.88555555555556,2,1,11.21399974822998,106.10445181,-1.88367173,0.0029401527132479986,9.46,106.102,-1.886,0.0004851180330523066,-0.0036968,106.1,-1.9,0.014610186916200458,1,4,5,2,3.2,Prioritas Tinggi,#fd7e14
BANGKA SELATAN,AIR GEGAS,DESA NYELANDING,106.274111111111,-2.70575,4,1,16.63599967956543,106.27445181,-2.70800238,0.002278001623653595,8.94,106.274,-2.706,0.0002735793833365001,-0.49822,106.25,-2.7,0.02478725840037288,1,4,5,2,3.2,Prioritas Tinggi,#fd7e14
BANGKA SELATAN,PULAU BESAR,BATU BETUMPANG,106.133888888889,-2.8125,4,1,19.69099998474121,106.13445181,-2.81288053,0.0006794727795187583,9.06,106.134,-2.812,0.0005121969142693227,-0.60424,106.15,-2.8,0.020391613502394743,1,4,5,2,3.2,Prioritas Tinggi,#fd7e14
